3361	3468+879	0	3491	1	42371at50557_66420_0:0004ba|STRG.3637.4|+|45|1.248e-07|1|3468|4346|3468[3468]:4346[4346]:879[879]
3382	344+261	0	4630	1	133820at50557_110193_0:0011cb|STRG.4049.2|+|44|2.496e-07|1|344|604|344[344]:604[604]:261[261]
3407	1509+261	0	1270	1	42371at50557_197043_0:001b42|STRG.4539.3|+|52|9.75e-10|1|1509|1769|1509[1509]:1769[1769]:261[261]
3413	21+339	0	2837	1	117348at50557_7425_0:0012b0|STRG.4649.1|+|40|3.994e-06|1|21|359|21[21]:359[359]:339[339]
3485	386+627	0	3299	1	12555at50557_93721_0:0043db|STRG.6026.5|+|76|5.812e-17|1|386|1012|386[386]:1012[1012]:627[627]
3527	176+357	0	2687	1	117348at50557_1049336_0:0013a8|STRG.6758.2|+|46|6.24e-08|1|176|532|176[176]:532[532]:357[357]
3607	746+516	0	1462	1	83433at50557_133901_0:001dd1|STRG.8321.2|+|64|2.38e-13|1|746|1261|746[746]:1261[1261]:516[516]
3639	3051+261	0	2111	1	12555at50557_121845_0:00419d|STRG.8909.7|+|44|2.496e-07|1|3051|3311|3051[3051]:3311[3311]:261[261]
3656	865+951	0	1922	1	94143at50557_6973_0:004c45|STRG.9234.2|+|75|1.162e-16|1|865|1815|865[865]:1815[1815]:951[951]
3695	274+357	0	1061	1	117348at50557_568069_0:002efe|STRG.10032.2|+|49|7.8e-09|1|274|630|274[274]:630[630]:357[357]
3716	1020+345	0	3574	1	117348at50557_121225_0:001b3c|STRG.10410.4|+|42|9.984e-07|1|1020|1364|1020[1020]:1364[1364]:345[345]
3769	115+537	0	3428	1	117348at50557_326594_0:0022c4|STRG.11450.1|+|130|3.226e-33|1|115|651|115[115]:651[651]:537[537]
3789	57+1296	0	3986	1	8602at50557_67767_0:000e44|STRG.11810.1|+|848|2.34e-249|1|57|1352|57[57]:1352[1352]:1296[1296]
3814	454+423	0	275	1	73720at50557_29031_0:000293|STRG.12296.1|+|72|9.298e-16|1|454|876|454[454]:876[876]:423[423]
3848	578+291	0	3998	1	104526at50557_51655_0:003b67|STRG.12966.1|+|35|0.0001278|1|578|868|578[578]:868[868]:291[291]
3867	243+261	0	2111	1	12555at50557_121845_0:00419d|STRG.13362.1|+|58|1.523e-11|1|243|503|243[243]:503[503]:261[261]
3879	591+1110	0	1564	1	32224at50557_7160_0:0018e8|STRG.13593.4|+|117|2.643e-29|1|591|1700|591[591]:1700[1700]:1110[1110]
3943	80+456	0	3536	1	83860at50557_113334_0:00134e|STRG.14858.1|+|157|2.404e-41|1|80|535|80[80]:535[535]:456[456]
3987	1314+909	0	4667	1	42371at50557_7038_0:00292b|STRG.15644.2|+|36|6.39e-05|1|1314|2222|1314[1314]:2222[2222]:909[909]
4006	1502+171	0	1888	1	60720at50557_7004_0:004a43|STRG.16016.1|+|55|1.219e-10|1|1502|1672|1502[1502]:1672[1672]:171[171]
4022	722+1062	0	4577	1	94143at50557_30019_0:0017d7|STRG.16304.2|+|100|3.464e-24|1|722|1783|722[722]:1783[1783]:1062[1062]
4033	207+1074	0	830	1	42648at50557_29053_0:001c61|STRG.16497.3|+|169|5.868e-45|1|207|1280|207[207]:1280[1280]:1074[1074]
4059	20+363	0	3575	1	117348at50557_35570_0:000680|STRG.16996.1|+|43|4.992e-07|1|20|382|20[20]:382[382]:363[363]
4106	1+822	0	40	1	12555at50557_166423_0:002c53|STRG.17915.1|+|529|2.499e-153|1|1|822|1[1]:822[822]:822[822]
4211	860+510	0	2943	1	83433at50557_67767_0:000e6c|STRG.19865.6|+|76|5.812e-17|1|860|1369|860[860]:1369[1369]:510[510]
4251	3655+351	0	1334	1	10394at50557_38123_0:002dad|STRG.437.10|+|57|3.047e-11|1|3655|4005|3655[3655]:4005[4005]:351[351]
4253	42+534	0	1462	1	83433at50557_133901_0:001dd1|STRG.487.2|+|66|5.951e-14|1|42|575|42[42]:575[575]:534[534]
4304	774+744	0	4520	1	42371at50557_7004_0:002041|STRG.1421.1|+|47|3.12e-08|1|774|1517|774[774]:1517[1517]:744[744]
4332	329+1182	0	2663	1	94143at50557_79782_0:001eeb|STRG.1977.1|+|87|2.838e-20|1|329|1510|329[329]:1510[1510]:1182[1182]
4367	122+732	0	4121	1	83433at50557_108931_0:0027fa|STRG.2649.4|+|76|5.812e-17|1|122|853|122[122]:853[853]:732[732]
4440	361+261	0	4630	1	133820at50557_110193_0:0011cb|STRG.4049.3|+|44|2.496e-07|1|361|621|361[361]:621[621]:261[261]
4465	1430+261	0	1270	1	42371at50557_197043_0:001b42|STRG.4539.1|+|52|9.75e-10|1|1430|1690|1430[1430]:1690[1690]:261[261]
4471	217+324	0	2837	1	117348at50557_7425_0:0012b0|STRG.4649.2|+|38|1.597e-05|1|217|540|217[217]:540[540]:324[324]
4476	159+537	0	4671	1	42648at50557_76194_0:0004bf|STRG.4733.5|+|90|3.547e-21|1|159|695|159[159]:695[695]:537[537]
4537	234+1143	0	2810	1	94143at50557_7038_0:001312|STRG.5904.1|+|96|5.542e-23|1|234|1376|234[234]:1376[1376]:1143[1143]
4543	212+654	0	3299	1	12555at50557_93721_0:0043db|STRG.6026.1|+|76|5.812e-17|1|212|865|212[212]:865[865]:654[654]
4611	747+2082	0	2765	1	53123at50557_112268_0:0014e0|STRG.7259.1|+|255|7.584e-71|1|747|2828|747[747]:2828[2828]:2082[2082]
4620	267+588	0	1322	1	85561at50557_54969_0:001e00|STRG.7406.1|+|98|1.386e-23|1|267|854|267[267]:854[854]:588[588]
4697	3395+261	0	2111	1	12555at50557_121845_0:00419d|STRG.8909.3|+|44|2.496e-07|1|3395|3655|3395[3395]:3655[3655]:261[261]
4714	704+951	0	1922	1	94143at50557_6973_0:004c45|STRG.9234.3|+|75|1.162e-16|1|704|1654|704[704]:1654[1654]:951[951]
4774	1140+345	0	3574	1	117348at50557_121225_0:001b3c|STRG.10410.5|+|42|9.984e-07|1|1140|1484|1140[1140]:1484[1484]:345[345]
4784	81+1368	0	1478	1	94143at50557_680683_0:0012e3|STRG.10615.2|+|74|2.325e-16|1|81|1448|81[81]:1448[1448]:1368[1368]
4824	1169+720	0	2011	1	42371at50557_51655_0:0040a0|STRG.11388.1|+|47|3.12e-08|1|1169|1888|1169[1169]:1888[1888]:720[720]
4827	115+688	0	2837	1	117348at50557_7425_0:0012b0|STRG.11450.2|+|130|3.226e-33|2|115|802|115[115]:435[435]:321[321]|608[608]:802[802]:195[195]
4849	42+885	0	2158	1	42371at50557_224129_0:001b8c|STRG.11847.1|+|57|3.047e-11|1|42|926|42[42]:926[926]:885[885]
4872	451+423	0	275	1	73720at50557_29031_0:000293|STRG.12296.3|+|72|9.298e-16|1|451|873|451[451]:873[873]:423[423]
4906	327+291	0	3998	1	104526at50557_51655_0:003b67|STRG.12966.2|+|35|0.0001278|1|327|617|327[327]:617[617]:291[291]
4924	1199+243	0	406	1	60720at50557_1218281_0:000819|STRG.13344.1|+|33|0.0005112|1|1199|1441|1199[1199]:1441[1441]:243[243]
4929	72+1035	0	2662	1	94143at50557_7029_0:006933|STRG.13434.1|+|90|3.547e-21|1|72|1106|72[72]:1106[1106]:1035[1035]
4937	435+1110	0	1564	1	32224at50557_7160_0:0018e8|STRG.13593.7|+|117|2.643e-29|1|435|1544|435[435]:1544[1544]:1110[1110]
4972	9+369	0	2836	1	117348at50557_30019_0:002c28|STRG.14280.1|+|51|1.95e-09|1|9|377|9[9]:377[377]:369[369]
4991	1943+675	0	1185	1	10394at50557_197043_0:003f06|STRG.14667.1|+|52|9.75e-10|1|1943|2617|1943[1943]:2617[2617]:675[675]
5001	80+530	0	3536	1	83860at50557_113334_0:00134e|STRG.14858.2|+|163|3.756e-43|2|80|609|80[80]:421[421]:342[342]|499[499]:609[609]:111[111]
5073	51+378	0	275	1	73720at50557_29031_0:000293|STRG.16179.1|+|75|1.162e-16|1|51|428|51[51]:428[428]:378[378]
5232	731+681	0	722	1	83433at50557_123851_0:0006b3|STRG.19231.2|+|61|1.904e-12|1|731|1411|731[731]:1411[1411]:681[681]
5269	332+510	0	2943	1	83433at50557_67767_0:000e6c|STRG.19865.7|+|76|5.812e-17|1|332|841|332[332]:841[841]:510[510]
5279	866+690	0	3297	1	12555at50557_52612_0:004446|STRG.20042.1|+|55|1.219e-10|1|866|1555|866[866]:1555[1555]:690[690]
5309	3819+351	0	1334	1	10394at50557_38123_0:002dad|STRG.437.4|+|57|3.047e-11|1|3819|4169|3819[3819]:4169[4169]:351[351]
5390	507+1128	0	2810	1	94143at50557_7038_0:001312|STRG.1978.1|+|87|2.838e-20|1|507|1634|507[507]:1634[1634]:1128[1128]
5405	483+507	0	3279	1	117348at50557_1155016_0:002962|STRG.2262.1|+|37|3.195e-05|1|483|989|483[483]:989[989]:507[507]
5406	146+549	0	1166	1	83433at50557_132113_0:000abd|STRG.2279.1|+|49|7.8e-09|1|146|694|146[146]:694[694]:549[549]
5425	122+732	0	4121	1	83433at50557_108931_0:0027fa|STRG.2649.5|+|76|5.812e-17|1|122|853|122[122]:853[853]:732[732]
5498	264+261	0	4630	1	133820at50557_110193_0:0011cb|STRG.4049.4|+|44|2.496e-07|1|264|524|264[264]:524[524]:261[261]
5523	2394+261	0	1270	1	42371at50557_197043_0:001b42|STRG.4539.4|+|52|9.75e-10|1|2394|2654|2394[2394]:2654[2654]:261[261]
5601	404+537	0	781	1	12555at50557_378494_0:000ae9|STRG.6026.4|+|68|1.488e-14|1|404|940|404[404]:940[940]:537[537]
5625	3665+543	0	484	1	12555at50557_197043_0:003291|STRG.6451.1|+|72|9.298e-16|1|3665|4207|3665[3665]:4207[4207]:543[543]
5669	1149+2082	0	2765	1	53123at50557_112268_0:0014e0|STRG.7259.2|+|255|7.584e-71|1|1149|3230|1149[1149]:3230[3230]:2082[2082]
5678	99+915	0	1322	1	85561at50557_54969_0:001e00|STRG.7406.2|+|100|3.464e-24|1|99|1013|99[99]:1013[1013]:915[915]
5719	184+834	0	54	1	133820at50557_7176_0:002df2|STRG.8233.1|+|157|2.404e-41|1|184|1017|184[184]:1017[1017]:834[834]
